ΞΟΦΛΗΜΕΝ,ξοφλημένους
ΩΤΑΚΟΥΣΤ,ωτακουστής
ΩΜ,ωμός
ΨΩΡΟΦΙΛΟΤΙΜ,ψωροφιλότιμος
ΨΩΡΟΠΕΡΗΦΑΝ,ψωροπερήφανος
ΨΩΡΟΚΑΚΟΜΟΙΡ,ψωροκακόμοιρος
ΨΩΡΙΛ,ψωρίλας
ΨΩΡΙΑΡ,ψωριάρης
ΨΩΝΙΣΜΕΝ,ψωνισμένος
ΨΩΝΙ,ψώνιο
ΨΩΝΑΡ,ψωνάρα
ΨΩΜΟΛΥΣΣ,ψωμόλυσσα
ΨΩΛ,ψωλή
ΨΩΛΑΡ,ψωλαράς
ΨΥΧΡΟΤΗΤ,ψυχρότητα
ΨΥΧΡ,ψυχρός
ΨΥΧΟΠΛΑΚΩΜ,ψυχοπλάκωμα
ΨΥΧΑΝΩΜΑΛ,ψυχανώμαλος
ΨΥΧΑΚΙ,ψυχάκιας
ΨΟΦΟΛΟΓ,ψοφολογώ
ΨΙΛΙΚΑΤΖ,ψιλικατζής
ΨΗΦΟΘΗΡΙΚ,ψηφοθηρικούς
ΨΕΥΤΡ,ψεύτρες
ΨΕΥΤΟΚΟΥΛΤΟΥΡΙΑΡ,ψευτοκουλτουριάρης
ΨΕΥΤΟΕΠΑΝΑΣΤΑΤ,ψευτοεπαναστάτες
ΨΕΥΤ,ψεύτης
ΨΕΥΤΑΚ,ψευτάκος
ΨΕΥΔΑΙΣΘΗΤΙΚ,ψευδαισθητικός
ΨΕΥΔΑΙΣΘΗΣΙ,ψευδαισθησία
ΨΕΥΔΑΙΣΘΗΣ,ψευδαίσθηση
ΨΕΜΜΑΤ,ψέμματα
ΨΕΚΑΣΜΕΝ,ψεκασμένος
ΨΕΙΡΙΑΡ,ψειριάρης
ΨΕΙΡ,ψείρα
ΨΑΡΟΚΑΣΕΛ,ψαροκασέλα
ΨΑΡ,ψάρι
ΧΩΡΙΑΤΟΜΑΝ,χωριατομάνι
ΧΩΡΙΑΤΙΣΣ,χωριάτισσα
ΧΩΡΙΑΤΙΚ,χωριάτικος
ΧΩΡΙΑΤΙ,χωριατιά
ΧΩΡΙΑΤ,χωριάτης
ΧΩΡΙΑΤΑΚ,χωριατάκι
ΧΥΛΟΠΙΤ,χυλόπιτες
ΧΥΔΑΪΣΤ,χυδαϊστής
ΧΥΔΑΪΣΜ,χυδαϊσμός
ΧΡΥΣΟΨΑΡ,χρυσόψαρου
ΧΡΥΣΟΚΑΝΘΑΡ,χρυσοκάνθαρος
ΧΡΥΣΑΦΙΚ,χρυσαφικό
ΧΡΥΣΑΥΓΙΤ,χρυσαυγίτης
ΧΡΕ,χρέη
ΧΟΥΝΤΟΤΣΙΡΚΟΥΛ,χουντοτσίρκουλο
ΧΟΥΝΤΙΚ,χουντικός
ΧΟΝΤΡΟΠΕΤΣ,χοντρόπετσος
ΧΟΝΤΡΟΜΠΑΛΟΥΔΙΚ,χοντρομπαλούδικο
ΧΟΝΤΡΟΜΠΑΛ,χοντρομπαλάς
ΧΟΝΤΡΟΜΠΑΛΑΔΙΚ,χοντρομπαλάδικο
ΧΟΝΤΡΟΚΟΜΜΕΝ,χοντροκομμένο
ΧΟΝΤΡΕΛ,χοντρέλα
ΧΛΕΥΑΖ,χλευάζει
ΧΕΣΤ,χέστης
ΧΕΣΤΗΚΑΜ,χεστήκαμε
ΧΕΣΜΕΝ,χεσμένες
ΧΕΙΡΟΚΡΟΤΗΤ,χειροκροτητής
ΧΕΖ,χεζάς
ΧΑΧΟΛ,χαχόλος
ΧΑΣΤΟΥΚ,χαστούκι
ΧΑΣΚΟΓΕΛΑ,χασκογελάει
ΧΑΣΙΚΛ,χασίκλας
ΧΑΣΑΠ,χασάπης
ΧΑΡΤΟΠΟΛΕΜ,χαρτοπόλεμος
ΧΑΡΤΟΜΟΥΤΡ,χαρτόμουτρο
ΧΑΡΤΟΜΑΝ,χαρτομάνι
ΧΑΡΤΟΓΙΑΚ,χαρτογιακάς
ΧΑΡΤΟΒΑΣΙΛΕΙ,χαρτοβασίλειο
